gid,stad,temp,humd,wspd,wdir,cond,surf,h,date2,date_id
1057,Cleveland Browns Stadium,72.0,45.0,10.0,VAR,Sunny,Grass,CLE,2004-09-12,2004-09-12CLE
1058,Reliant Stadium,,,,,Clear,Grass,HOU,2004-09-12,2004-09-12HOU
1059,Metrodome,70.0,,,,Dome,AstroTurf,MIN,2004-09-12,2004-09-12MIN
1060,Louisiana Superdome,81.0,,,,Dome,MomentumTurf,NO,2004-09-12,2004-09-12NO
1061,The Meadowlands,76.0,77.0,5.0,VAR,Clear,FieldTurf,NYJ,2004-09-12,2004-09-12NYJ
1062,Lincoln Financial Field,78.0,50.0,8.0,S,Partly Cloudy,Grass,PHI,2004-09-12,2004-09-12PHI
1063,Heinz Field,65.0,90.0,5.0,SE,Hazy,Grass,PIT,2004-09-12,2004-09-12PIT
1064,3COM Park,67.0,72.0,15.0,W,Sunny,Grass,SF,2004-09-12,2004-09-12SF
1065,Edward Jones Dome,,,,,Dome,AstroTurf,STL,2004-09-12,2004-09-12STL
1066,FedEx Field,81.0,68.0,5.0,SW,Sunny,Grass,WAS,2004-09-12,2004-09-12WAS
1067,Invesco Field at Mile High,82.0,19.0,15.0,S,Cloudy,Grass,DEN,2004-09-12,2004-09-12DEN
1068,Bank of America Stadium,74.0,58.0,5.0,E,Mostly Cloudy,Grass,CAR,2004-09-13,2004-09-13CAR
1069,Sun Devil Stadium,89.0,46.0,19.0,S,Partly Cloudy,Grass,ARI,2004-09-19,2004-09-19ARI
1070,Georgia Dome,,,,,Dome,FieldTurf,ATL,2004-09-19,2004-09-19ATL
1071,M&T Bank Stadium,67.0,,13.0,N,Sunny,Grass,BAL,2004-09-19,2004-09-19BAL
1072,Texas Stadium,91.0,36.0,12.0,SE,Clear,AstroTurf,DAL,2004-09-19,2004-09-19DAL
1073,Ford Field,68.0,,,,Dome,FieldTurf,DET,2004-09-19,2004-09-19DET
1074,Lambeau Field,74.0,41.0,15.0,S,Mostly Sunny,Grass,GB,2004-09-19,2004-09-19GB
1075,Alltel Stadium,78.0,59.0,15.0,NE,Clear,Grass,JAC,2004-09-19,2004-09-19JAC
1076,Arrowhead Stadium,80.0,49.0,12.0,S,Clear,Grass,KC,2004-09-19,2004-09-19KC
1077,Louisiana Superdome,75.0,,,,Dome,MomentumTurf,NO,2004-09-19,2004-09-19NO
1078,Giants Stadium,62.0,50.0,16.0,N,Sunny,FieldTurf,NYG,2004-09-19,2004-09-19NYG
1079,Network Associates Coliseum,64.0,65.0,15.0,S,Partly Cloudy,Grass,OAK,2004-09-19,2004-09-19OAK
1080,Qualcomm Stadium,73.0,67.0,9.0,WSW,Clear,Grass,SD,2004-09-19,2004-09-19SD
1081,Raymond James Stadium,88.0,46.0,8.0,NE,Chance Rain,Grass,TB,2004-09-19,2004-09-19TB
1082,Adelphia Coliseum,71.0,45.0,13.0,ENE,Sunny,Grass,TEN,2004-09-19,2004-09-19TEN
1083,Paul Brown Stadium,72.0,41.0,9.0,NE,Clear,FieldTurf,CIN,2004-09-19,2004-09-19CIN
1084,Lincoln Financial Field,61.0,69.0,1.0,NW,Clear,Grass,PHI,2004-09-20,2004-09-20PHI
1085,Georgia Dome,,,,,Dome,FieldTurf,ATL,2004-09-26,2004-09-26ATL
1086,Paul Brown Stadium,65.0,73.0,7.0,E,Sunny,FieldTurf,CIN,2004-09-26,2004-09-26CIN
1087,Invesco Field at Mile High,73.0,26.0,7.0,N,Sunny,Grass,DEN,2004-09-26,2004-09-26DEN
1088,Ford Field,68.0,,,,Dome,FieldTurf,DET,2004-09-26,2004-09-26DET
1089,RCA Dome,,,,,Dome,AstroTurf,IND,2004-09-26,2004-09-26IND
1090,Arrowhead Stadium,71.0,63.0,3.0,N,Clear,Grass,KC,2004-09-26,2004-09-26KC
1091,Pro Player Stadium,79.0,84.0,10.0,SW,Mostly Cloudy,Grass,MIA,2004-09-26,2004-09-26MIA
1092,Metrodome,64.0,,,,Dome,AstroTurf,MIN,2004-09-26,2004-09-26MIN
1093,Giants Stadium,77.0,50.0,3.0,VAR,Sunny,FieldTurf,NYG,2004-09-26,2004-09-26NYG
1094,Qwest Field,57.0,87.0,3.0,VAR,Cloudy,FieldTurf,SEA,2004-09-26,2004-09-26SEA
1095,Edward Jones Dome,,,,,Dome,AstroTurf,STL,2004-09-26,2004-09-26STL
1096,Adelphia Coliseum,76.0,45.0,12.0,NNE,Sunny,Grass,TEN,2004-09-26,2004-09-26TEN
1097,Network Associates Coliseum,71.0,59.0,12.0,NW,Sunny,Grass,OAK,2004-09-26,2004-09-26OAK
1098,FedEx Field,72.0,68.0,7.0,E,Cloudy,Grass,WAS,2004-09-27,2004-09-27WAS
1099,Sun Devil Stadium,93.0,17.0,3.0,VAR,Partly Cloudy,Grass,ARI,2004-10-03,2004-10-03ARI
1100,Ralph Wilson Stadium,58.0,55.0,13.0,SW,Sunny,AstroPlay,BUF,2004-10-03,2004-10-03BUF
1101,Bank of America Stadium,71.0,81.0,6.0,E,Cloudy,Grass,CAR,2004-10-03,2004-10-03CAR
1102,Soldier Field,61.0,33.0,20.0,SW,Sunny,Grass,CHI,2004-10-03,2004-10-03CHI
1103,Cleveland Browns Stadium,58.0,,12.0,SW,Sunny,Grass,CLE,2004-10-03,2004-10-03CLE
1104,Lambeau Field,61.0,34.0,18.0,S,Partly Sunny,Grass,GB,2004-10-03,2004-10-03GB
1105,Reliant Stadium,,,,,Closed Roof,Grass,HOU,2004-10-03,2004-10-03HOU
1106,Alltel Stadium,85.0,62.0,5.0,SW,Chance Rain,Grass,JAC,2004-10-03,2004-10-03JAC
1107,Pro Player Stadium,88.0,65.0,17.0,NE,Partly Cloudy,Grass,MIA,2004-10-03,2004-10-03MIA
1108,Heinz Field,54.0,66.0,5.0,E,Fair,Grass,PIT,2004-10-03,2004-10-03PIT
1109,Qualcomm Stadium,74.0,69.0,8.0,WSW,Sunny,Grass,SD,2004-10-03,2004-10-03SD
1110,Raymond James Stadium,86.0,61.0,9.0,W,Chance Rain,Grass,TB,2004-10-03,2004-10-03TB
1111,Monster Park,59.0,80.0,15.0,W,Cloudy,Grass,SF,2004-10-03,2004-10-03SF
1112,M&T Bank Stadium,66.0,58.0,6.0,NW,Sunny,MomentumTurf,BAL,2004-10-04,2004-10-04BAL
1113,Georgia Dome,,,,,Dome,FieldTurf,ATL,2004-10-10,2004-10-10ATL
1114,Texas Stadium,65.0,93.0,10.0,S,Rain,AstroTurf,DAL,2004-10-10,2004-10-10DAL
1115,Invesco Field at Mile High,72.0,17.0,4.0,E,Mostly Sunny,Grass,DEN,2004-10-10,2004-10-10DEN
1116,Reliant Stadium,73.0,76.0,15.0,NW,Partly Cloudy,Grass,HOU,2004-10-10,2004-10-10HOU
1117,RCA Dome,,,,,Dome,AstroTurf,IND,2004-10-10,2004-10-10IND
1118,Gillette Stadium,64.0,56.0,8.0,NNW,Mostly Cloudy,Grass,NE,2004-10-10,2004-10-10NE
1119,Louisiana Superdome,75.0,,,,Dome,MomentumTurf,NO,2004-10-10,2004-10-10NO
1120,The Meadowlands,64.0,71.0,8.0,NW,,FieldTurf,NYJ,2004-10-10,2004-10-10NYJ
1121,Heinz Field,54.0,72.0,7.0,VAR,Cloudy,Grass,PIT,2004-10-10,2004-10-10PIT
1122,Qualcomm Stadium,68.0,76.0,9.0,WSW,Sunny,Grass,SD,2004-10-10,2004-10-10SD
1123,Monster Park,68.0,48.0,3.0,E,Sunny,Grass,SF,2004-10-10,2004-10-10SF
1124,Qwest Field,57.0,82.0,8.0,SE,Sunny,FieldTurf,SEA,2004-10-10,2004-10-10SEA
1125,FedEx Field,61.0,45.0,16.0,NW,Clear,Grass,WAS,2004-10-10,2004-10-10WAS
1126,Lambeau Field,50.0,80.0,2.0,SE,Clear,Grass,GB,2004-10-11,2004-10-11GB
1127,Georgia Dome,,,,,Dome,FieldTurf,ATL,2004-10-17,2004-10-17ATL
1128,Ralph Wilson Stadium,45.0,,25.0,W,,AstroPlay,BUF,2004-10-17,2004-10-17BUF
1129,Soldier Field,42.0,55.0,12.0,W,Sunny,Grass,CHI,2004-10-17,2004-10-17CHI
1130,Cleveland Browns Stadium,46.0,,19.0,WSW,Cloudy,Grass,CLE,2004-10-17,2004-10-17CLE
1131,Texas Stadium,86.0,52.0,18.0,S,Partly Cloudy,AstroTurf,DAL,2004-10-17,2004-10-17DAL
1132,Ford Field,68.0,,,,Dome,FieldTurf,DET,2004-10-17,2004-10-17DET
1133,Alltel Stadium,78.0,64.0,9.0,NW,Clear,Grass,JAC,2004-10-17,2004-10-17JAC
1134,Gillette Stadium,50.0,65.0,12.0,SSW,Partly Cloudy,Grass,NE,2004-10-17,2004-10-17NE
1135,The Meadowlands,53.0,56.0,9.0,NW,Cloudy,FieldTurf,NYJ,2004-10-17,2004-10-17NYJ
1136,Network Associates Coliseum,67.0,68.0,15.0,N,Mostly Cloudy,Grass,OAK,2004-10-17,2004-10-17OAK
1137,Lincoln Financial Field,56.0,47.0,21.0,W,Partly Cloudy,Grass,PHI,2004-10-17,2004-10-17PHI
1138,Adelphia Coliseum,60.0,47.0,,,Mostly Sunny,Grass,TEN,2004-10-17,2004-10-17TEN
1139,Louisiana Superdome,76.0,,,,Dome,MomentumTurf,NO,2004-10-17,2004-10-17NO
1140,Edward Jones Dome,,,,,Dome,AstroTurf,STL,2004-10-18,2004-10-18STL
1141,Sun Devil Stadium,77.0,30.0,,,Sunny,Grass,ARI,2004-10-24,2004-10-24ARI
1142,M&T Bank Stadium,52.0,69.0,3.0,ENE,Rain,MomentumTurf,BAL,2004-10-24,2004-10-24BAL
1143,Bank of America Stadium,58.0,90.0,7.0,SW,Cloudy,Grass,CAR,2004-10-24,2004-10-24CAR
1144,Cleveland Browns Stadium,58.0,,10.0,N,Cloudy,Grass,CLE,2004-10-24,2004-10-24CLE
1145,Lambeau Field,55.0,77.0,8.0,W,Partly Cloudy,Grass,GB,2004-10-24,2004-10-24GB
1146,RCA Dome,,,,,Dome,AstroTurf,IND,2004-10-24,2004-10-24IND
1147,Arrowhead Stadium,69.0,41.0,9.0,S,Clear,Grass,KC,2004-10-24,2004-10-24KC
1148,Pro Player Stadium,82.0,52.0,7.0,VAR,Partly Cloudy,Grass,MIA,2004-10-24,2004-10-24MIA
1149,Metrodome,64.0,,,,Dome,AstroTurf,MIN,2004-10-24,2004-10-24MIN
1150,Gillette Stadium,46.0,92.0,15.0,N,Light Rain,Grass,NE,2004-10-24,2004-10-24NE
1151,Giants Stadium,52.0,71.0,8.0,NNE,Cloudy,FieldTurf,NYG,2004-10-24,2004-10-24NYG
1152,Network Associates Coliseum,62.0,74.0,10.0,NE,Partly Cloudy,Grass,OAK,2004-10-24,2004-10-24OAK
1153,Raymond James Stadium,80.0,58.0,7.0,W,Chance Rain,Grass,TB,2004-10-24,2004-10-24TB
1154,Paul Brown Stadium,61.0,45.0,7.0,SE,Clear,FieldTurf,CIN,2004-10-25,2004-10-25CIN
1155,Ralph Wilson Stadium,55.0,69.0,21.0,W,Rain,AstroPlay,BUF,2004-10-31,2004-10-31BUF
1156,Texas Stadium,78.0,71.0,,,Chance Rain,AstroTurf,DAL,2004-10-31,2004-10-31DAL
1157,Invesco Field at Mile High,54.0,26.0,12.0,E,Partly Cloudy,Grass,DEN,2004-10-31,2004-10-31DEN
1158,Reliant Stadium,85.0,59.0,17.0,S,Sunny,Grass,HOU,2004-10-31,2004-10-31HOU
1159,Arrowhead Stadium,67.0,44.0,10.0,S,Clear,Grass,KC,2004-10-31,2004-10-31KC
1160,Metrodome,63.0,,,,Dome,AstroTurf,MIN,2004-10-31,2004-10-31MIN
1161,Lincoln Financial Field,73.0,49.0,22.0,W,Mostly Sunny,Grass,PHI,2004-10-31,2004-10-31PHI
1162,Heinz Field,64.0,40.0,13.0,W,Fair,Grass,PIT,2004-10-31,2004-10-31PIT
1163,Qualcomm Stadium,69.0,57.0,8.0,WSW,Sunny,Grass,SD,2004-10-31,2004-10-31SD
1164,Qwest Field,49.0,64.0,6.0,SE,Sunny,FieldTurf,SEA,2004-10-31,2004-10-31SEA
1165,Adelphia Coliseum,69.0,51.0,5.0,N,Partly Cloudy,Grass,TEN,2004-10-31,2004-10-31TEN
1166,FedEx Field,78.0,78.0,9.0,SW,Partly Cloudy,Grass,WAS,2004-10-31,2004-10-31WAS
1167,Soldier Field,50.0,76.0,7.0,VAR,Partly Cloudy,Grass,CHI,2004-10-31,2004-10-31CHI
1168,The Meadowlands,52.0,68.0,3.0,N,Partly Cloudy,FieldTurf,NYJ,2004-11-01,2004-11-01NYJ
1169,Ralph Wilson Stadium,55.0,60.0,25.0,SW,Mostly Cloudy,AstroPlay,BUF,2004-11-07,2004-11-07BUF
1170,Bank of America Stadium,73.0,38.0,3.0,SW,Sunny,Grass,CAR,2004-11-07,2004-11-07CAR
1171,Paul Brown Stadium,63.0,67.0,9.0,SW,Sunny,FieldTurf,CIN,2004-11-07,2004-11-07CIN
1172,Invesco Field at Mile High,69.0,11.0,7.0,S,Partly Cloudy,Grass,DEN,2004-11-07,2004-11-07DEN
1173,Ford Field,68.0,,,,Dome,FieldTurf,DET,2004-11-07,2004-11-07DET
1174,Pro Player Stadium,80.0,56.0,12.0,NE,Partly Cloudy,Grass,MIA,2004-11-07,2004-11-07MIA
1175,Giants Stadium,71.0,53.0,22.0,SW,Fair,FieldTurf,NYG,2004-11-07,2004-11-07NYG
1176,Heinz Field,63.0,50.0,24.0,SSW,Fair,Grass,PIT,2004-11-07,2004-11-07PIT
1177,Qualcomm Stadium,63.0,78.0,8.0,WSW,Chance Rain,Grass,SD,2004-11-07,2004-11-07SD
1178,Monster Park,57.0,77.0,8.0,NE,Sunny,Grass,SF,2004-11-07,2004-11-07SF
1179,Edward Jones Dome,,,,,Dome,AstroTurf,STL,2004-11-07,2004-11-07STL
1180,Raymond James Stadium,76.0,43.0,7.0,VAR,Sunny,Grass,TB,2004-11-07,2004-11-07TB
1181,M&T Bank Stadium,61.0,56.0,7.0,W,Clear,MomentumTurf,BAL,2004-11-07,2004-11-07BAL
1182,RCA Dome,,,,,Dome,AstroTurf,IND,2004-11-08,2004-11-08IND
1183,Sun Devil Stadium,72.0,27.0,19.0,ENE,Partly Cloudy,Grass,ARI,2004-11-14,2004-11-14ARI
1184,Georgia Dome,,,,,Dome,FieldTurf,ATL,2004-11-14,2004-11-14ATL
1185,Cleveland Browns Stadium,44.0,,,,,Grass,CLE,2004-11-14,2004-11-14CLE
1186,Lambeau Field,46.0,53.0,7.0,SW,Partly Cloudy,Grass,GB,2004-11-14,2004-11-14GB
1187,RCA Dome,,,,,Dome,AstroTurf,IND,2004-11-14,2004-11-14IND
1188,Alltel Stadium,60.0,86.0,14.0,NE,,Grass,JAC,2004-11-14,2004-11-14JAC
1189,Louisiana Superdome,66.0,,,,Dome,MomentumTurf,NO,2004-11-14,2004-11-14NO
1190,The Meadowlands,48.0,42.0,7.0,VAR,Clear,FieldTurf,NYJ,2004-11-14,2004-11-14NYJ
1191,Monster Park,59.0,83.0,3.0,NE,Cloudy,Grass,SF,2004-11-14,2004-11-14SF
1192,Edward Jones Dome,,,,,Dome,AstroTurf,STL,2004-11-14,2004-11-14STL
1193,Adelphia Coliseum,56.0,61.0,9.0,E,Partly Cloudy,Grass,TEN,2004-11-14,2004-11-14TEN
1194,FedEx Field,53.0,37.0,,,Sunny,Grass,WAS,2004-11-14,2004-11-14WAS
1195,Gillette Stadium,40.0,57.0,2.0,N,Clear,Grass,NE,2004-11-14,2004-11-14NE
1196,Texas Stadium,62.0,86.0,6.0,E,Chance Rain,AstroTurf,DAL,2004-11-15,2004-11-15DAL
1197,M&T Bank Stadium,60.0,60.0,,,Mostly Cloudy,MomentumTurf,BAL,2004-11-21,2004-11-21BAL
1198,Ralph Wilson Stadium,50.0,74.0,10.0,W,Partly Cloudy,AstroPlay,BUF,2004-11-21,2004-11-21BUF
1199,Bank of America Stadium,68.0,56.0,3.0,S,Mostly Cloudy,Grass,CAR,2004-11-21,2004-11-21CAR
1200,Soldier Field,43.0,50.0,3.0,NW,Partly Cloudy,Grass,CHI,2004-11-21,2004-11-21CHI
1201,Paul Brown Stadium,50.0,80.0,9.0,N,Chance Rain,FieldTurf,CIN,2004-11-21,2004-11-21CIN
1202,Cleveland Browns Stadium,51.0,,9.0,N,Cloudy,Grass,CLE,2004-11-21,2004-11-21CLE
1203,Alltel Stadium,80.0,53.0,4.0,S,Chance Rain,Grass,JAC,2004-11-21,2004-11-21JAC
1204,Metrodome,64.0,,,,Dome,AstroTurf,MIN,2004-11-21,2004-11-21MIN
1205,Louisiana Superdome,78.0,,,,Dome,MomentumTurf,NO,2004-11-21,2004-11-21NO
1206,Giants Stadium,57.0,96.0,3.0,S,Cloudy,FieldTurf,NYG,2004-11-21,2004-11-21NYG
1207,Network Associates Coliseum,61.0,21.0,18.0,N,Sunny,Grass,OAK,2004-11-21,2004-11-21OAK
1208,Lincoln Financial Field,55.0,82.0,2.0,NNW,Mostly Cloudy,Grass,PHI,2004-11-21,2004-11-21PHI
1209,Qwest Field,46.0,73.0,3.0,SE,Partly Sunny,FieldTurf,SEA,2004-11-21,2004-11-21SEA
1210,Raymond James Stadium,77.0,60.0,8.0,W,Clear,Grass,TB,2004-11-21,2004-11-21TB
1211,Reliant Stadium,,,,,Closed Roof,Grass,HOU,2004-11-21,2004-11-21HOU
1212,Arrowhead Stadium,45.0,93.0,5.0,S,Cloudy,Grass,KC,2004-11-22,2004-11-22KC
1213,Texas Stadium,61.0,37.0,10.0,N,Clear,AstroTurf,DAL,2004-11-25,2004-11-25DAL
1214,Ford Field,68.0,,,,Dome,FieldTurf,DET,2004-11-25,2004-11-25DET
1215,Sun Devil Stadium,63.0,23.0,25.0,WNW,Partly Cloudy,Grass,ARI,2004-11-28,2004-11-28ARI
1216,Georgia Dome,,,,,Dome,FieldTurf,ATL,2004-11-28,2004-11-28ATL
1217,Bank of America Stadium,56.0,61.0,5.0,NW,Sunny,Grass,CAR,2004-11-28,2004-11-28CAR
1218,Paul Brown Stadium,38.0,76.0,13.0,W,Cloudy,FieldTurf,CIN,2004-11-28,2004-11-28CIN
1219,Reliant Stadium,,,,,Closed Roof,Grass,HOU,2004-11-28,2004-11-28HOU
1220,Arrowhead Stadium,35.0,75.0,14.0,E,Cloudy,Grass,KC,2004-11-28,2004-11-28KC
1221,Metrodome,65.0,,,,Dome,AstroTurf,MIN,2004-11-28,2004-11-28MIN
1222,Gillette Stadium,52.0,0.0,20.0,SE,Rain,Grass,NE,2004-11-28,2004-11-28NE
1223,Giants Stadium,61.0,82.0,3.0,SSW,Partly Sunny,FieldTurf,NYG,2004-11-28,2004-11-28NYG
1224,Heinz Field,38.0,86.0,19.0,W,Cloudy,Grass,PIT,2004-11-28,2004-11-28PIT
1225,Monster Park,55.0,43.0,20.0,N,Sunny,Grass,SF,2004-11-28,2004-11-28SF
1226,Qwest Field,41.0,82.0,3.0,SE,Sunny,FieldTurf,SEA,2004-11-28,2004-11-28SEA
1227,Invesco Field at Mile High,18.0,90.0,7.0,N,Snow,Grass,DEN,2004-11-28,2004-11-28DEN
1228,Lambeau Field,28.0,86.0,4.0,SW,Partly Cloudy,Grass,GB,2004-11-29,2004-11-29GB
1229,M&T Bank Stadium,56.0,42.0,7.0,WNW,Sunny,MomentumTurf,BAL,2004-12-05,2004-12-05BAL
1230,Soldier Field,45.0,73.0,14.0,E,Partly Cloudy,Grass,CHI,2004-12-05,2004-12-05CHI
1231,Cleveland Browns Stadium,46.0,,9.0,NNE,Cloudy,Grass,CLE,2004-12-05,2004-12-05CLE
1232,Ford Field,68.0,,,,Dome,FieldTurf,DET,2004-12-05,2004-12-05DET
1233,RCA Dome,,,,,Dome,AstroTurf,IND,2004-12-05,2004-12-05IND
1234,Pro Player Stadium,79.0,69.0,13.0,E,Mostly Cloudy,Grass,MIA,2004-12-05,2004-12-05MIA
1235,Louisiana Superdome,,,,,Dome,MomentumTurf,NO,2004-12-05,2004-12-05NO
1236,The Meadowlands,56.0,64.0,11.0,W,,FieldTurf,NYJ,2004-12-05,2004-12-05NYJ
1237,Network Associates Coliseum,50.0,39.0,8.0,SW,Mostly Sunny,Grass,OAK,2004-12-05,2004-12-05OAK
1238,Lincoln Financial Field,55.0,38.0,14.0,W,Partly Cloudy,Grass,PHI,2004-12-05,2004-12-05PHI
1239,Qualcomm Stadium,58.0,77.0,9.0,WSW,Light Rain,Grass,SD,2004-12-05,2004-12-05SD
1240,Edward Jones Dome,,,,,Dome,AstroTurf,STL,2004-12-05,2004-12-05STL
1241,Raymond James Stadium,71.0,45.0,3.0,VAR,Chance Rain,Grass,TB,2004-12-05,2004-12-05TB
1242,FedEx Field,61.0,38.0,6.0,SW,Sunny,Grass,WAS,2004-12-05,2004-12-05WAS
1243,Alltel Stadium,56.0,89.0,,,Chance Rain,Grass,JAC,2004-12-05,2004-12-05JAC
1244,Qwest Field,45.0,76.0,,,Cloudy,FieldTurf,SEA,2004-12-06,2004-12-06SEA
1245,Sun Devil Stadium,74.0,30.0,,,Clear,Grass,ARI,2004-12-12,2004-12-12ARI
1246,Georgia Dome,,,,,Dome,FieldTurf,ATL,2004-12-12,2004-12-12ATL
1247,M&T Bank Stadium,48.0,46.0,12.0,W,Partly Cloudy,MomentumTurf,BAL,2004-12-12,2004-12-12BAL
1248,Ralph Wilson Stadium,31.0,56.0,10.0,S,Light Snow,AstroPlay,BUF,2004-12-12,2004-12-12BUF
1249,Bank of America Stadium,53.0,48.0,6.0,SW,Mostly Sunny,Grass,CAR,2004-12-12,2004-12-12CAR
1250,Texas Stadium,62.0,44.0,,,Clear,AstroTurf,DAL,2004-12-12,2004-12-12DAL
1251,Invesco Field at Mile High,37.0,43.0,8.0,E,Partly Cloudy,Grass,DEN,2004-12-12,2004-12-12DEN
1252,Lambeau Field,33.0,66.0,28.0,NW,Flurries,Grass,GB,2004-12-12,2004-12-12GB
1253,Reliant Stadium,68.0,78.0,9.0,SW,,Grass,HOU,2004-12-12,2004-12-12HOU
1254,Alltel Stadium,53.0,,15.0,W,Sunny,Grass,JAC,2004-12-12,2004-12-12JAC
1255,Metrodome,65.0,,,,Dome,AstroTurf,MIN,2004-12-12,2004-12-12MIN
1256,Gillette Stadium,39.0,66.0,5.0,W,Partly Cloudy,Grass,NE,2004-12-12,2004-12-12NE
1257,Heinz Field,34.0,81.0,12.0,S,Cloudy,Grass,PIT,2004-12-12,2004-12-12PIT
1258,Qualcomm Stadium,69.0,63.0,8.0,WSW,Clear,Grass,SD,2004-12-12,2004-12-12SD
1259,FedEx Field,47.0,51.0,13.0,SW,Cloudy,Grass,WAS,2004-12-12,2004-12-12WAS
1260,Adelphia Coliseum,37.0,50.0,10.0,N,Clear,Grass,TEN,2004-12-13,2004-12-13TEN
1261,Georgia Dome,,,,,Dome,AstroTurf,ATL,2004-12-18,2004-12-18ATL
1262,Giants Stadium,42.0,65.0,5.0,E,Mostly Sunny,FieldTurf,NYG,2004-12-18,2004-12-18NYG
1263,Monster Park,55.0,80.0,0.0,CALM,Sunny,Grass,SF,2004-12-18,2004-12-18SF
1264,Sun Devil Stadium,75.0,13.0,10.0,E,Sunny,Grass,ARI,2004-12-19,2004-12-19ARI
1265,Soldier Field,12.0,44.0,21.0,NW,Sunny,Grass,CHI,2004-12-19,2004-12-19CHI
1266,Paul Brown Stadium,19.0,45.0,22.0,N,Cloudy,FieldTurf,CIN,2004-12-19,2004-12-19CIN
1267,Cleveland Browns Stadium,18.0,68.0,30.0,NNW,Snow,Grass,CLE,2004-12-19,2004-12-19CLE
1268,Ford Field,68.0,,,,Dome,FieldTurf,DET,2004-12-19,2004-12-19DET
1269,Lambeau Field,12.0,44.0,13.0,NW,Clear,Grass,GB,2004-12-19,2004-12-19GB
1270,Arrowhead Stadium,15.0,42.0,10.0,NE,Clear,Grass,KC,2004-12-19,2004-12-19KC
1271,The Meadowlands,45.0,82.0,5.0,VAR,Hazy,FieldTurf,NYJ,2004-12-19,2004-12-19NYJ
1272,Network Associates Coliseum,54.0,45.0,6.0,E,Sunny,Grass,OAK,2004-12-19,2004-12-19OAK
1273,Lincoln Financial Field,37.0,65.0,4.0,W,Mostly Cloudy,Grass,PHI,2004-12-19,2004-12-19PHI
1274,Raymond James Stadium,64.0,50.0,13.0,WNW,Partly Cloudy,Grass,TB,2004-12-19,2004-12-19TB
1275,RCA Dome,,,,,Dome,AstroTurf,IND,2004-12-19,2004-12-19IND
1276,Pro Player Stadium,52.0,49.0,7.0,N,Clear,Grass,MIA,2004-12-20,2004-12-20MIA
1277,Metrodome,65.0,,,,Dome,AstroTurf,MIN,2004-12-24,2004-12-24MIN
1278,Arrowhead Stadium,43.0,41.0,8.0,S,Clear,Grass,KC,2004-12-25,2004-12-25KC
1279,Adelphia Coliseum,29.0,66.0,8.0,N,Clear,Grass,TEN,2004-12-25,2004-12-25TEN
1280,Paul Brown Stadium,24.0,81.0,3.0,NW,Cloudy,FieldTurf,CIN,2004-12-26,2004-12-26CIN
1281,Texas Stadium,61.0,29.0,5.0,S,Clear,AstroTurf,DAL,2004-12-26,2004-12-26DAL
1282,Ford Field,68.0,,,,Dome,FieldTurf,DET,2004-12-26,2004-12-26DET
1283,RCA Dome,,,,,Dome,AstroTurf,IND,2004-12-26,2004-12-26IND
1284,Alltel Stadium,40.0,,21.0,NW,Chance Rain,Grass,JAC,2004-12-26,2004-12-26JAC
1285,Louisiana Superdome,43.0,,,,Dome,MomentumTurf,NO,2004-12-26,2004-12-26NO
1286,The Meadowlands,30.0,90.0,10.0,N,Cloudy,FieldTurf,NYJ,2004-12-26,2004-12-26NYJ
1287,Heinz Field,26.0,53.0,3.0,VAR,Cloudy,Grass,PIT,2004-12-26,2004-12-26PIT
1288,Monster Park,54.0,80.0,18.0,E,Cloudy,Grass,SF,2004-12-26,2004-12-26SF
1289,Qwest Field,46.0,89.0,3.0,VAR,Cloudy,FieldTurf,SEA,2004-12-26,2004-12-26SEA
1290,Raymond James Stadium,50.0,71.0,15.0,NNW,Chance Rain,Grass,TB,2004-12-26,2004-12-26TB
1291,Pro Player Stadium,55.0,77.0,12.0,NW,Clear,Grass,MIA,2004-12-26,2004-12-26MIA
1292,Edward Jones Dome,,,,,Dome,AstroTurf,STL,2004-12-27,2004-12-27STL
1293,Sun Devil Stadium,63.0,47.0,7.0,S,Partly Cloudy,Grass,ARI,2005-01-02,2005-01-02ARI
1294,M&T Bank Stadium,42.0,71.0,7.0,SE,Cloudy,MomentumTurf,BAL,2005-01-02,2005-01-02BAL
1295,Ralph Wilson Stadium,52.0,77.0,17.0,S,Mostly Cloudy,AstroPlay,BUF,2005-01-02,2005-01-02BUF
1296,Bank of America Stadium,65.0,60.0,8.0,SW,Partly Sunny,Grass,CAR,2005-01-02,2005-01-02CAR
1297,Soldier Field,44.0,86.0,12.0,NW,Foggy,Grass,CHI,2005-01-02,2005-01-02CHI
1298,Invesco Field at Mile High,32.0,60.0,4.0,NE,Cloudy,Grass,DEN,2005-01-02,2005-01-02DEN
1299,Reliant Stadium,,,,,Closed Roof,Grass,HOU,2005-01-02,2005-01-02HOU
1300,Gillette Stadium,32.0,62.0,2.0,NNE,Partly Cloudy,Grass,NE,2005-01-02,2005-01-02NE
1301,Network Associates Coliseum,48.0,0.0,9.0,N,Light Rain,Grass,OAK,2005-01-02,2005-01-02OAK
1302,Lincoln Financial Field,43.0,63.0,8.0,ESE,Cloudy,Grass,PHI,2005-01-02,2005-01-02PHI
1303,Qualcomm Stadium,59.0,87.0,8.0,WSW,Partly Cloudy,Grass,SD,2005-01-02,2005-01-02SD
1304,Qwest Field,40.0,58.0,5.0,VAR,Sunny,FieldTurf,SEA,2005-01-02,2005-01-02SEA
